Listing of Field Curvature Data

File : Z:\harding On My Mac\SDSS4\DuPontFocalPlaneDesign\zplMacro\Nov12_2016\Bowen&Vaughn_bendtomatch_PrimSecParamsFrom19020Apr2LessVignetting.ZMX
Title: Du Pont 100-in from B&V corrected less vignetting
Date : 11/13/2016


Distortion Type: F-Theta
Shift units are Millimeters.
Height units are Millimeters.
Distortion units are Millimeters.
Maximum Field is 1.000 Degrees.

Data for wavelength : 0.760000 µm.
Distortion focal length = 18867.00450
  Y Angle (deg)	      Tan Shift	      Sag Shift	    Real Height	    Ref. Height	     Distortion
     0.00000000	    -0.08385563	    -0.08385563	     0.00000000	     0.00000000	     0.00000000	
     0.01000000	    -0.08382988	    -0.08385849	     3.29291563	     3.29291348	     0.00000215	
     0.02000000	    -0.08375816	    -0.08386704	     6.58584415	     6.58582697	     0.00001718	
     0.03000000	    -0.08364043	    -0.08388121	     9.87879844	     9.87874045	     0.00005798	
     0.04000000	    -0.08347662	    -0.08390090	    13.17179138	    13.17165394	     0.00013744	
     0.05000000	    -0.08326663	    -0.08392596	    16.46483587	    16.46456742	     0.00026845	
     0.06000000	    -0.08301032	    -0.08395619	    19.75794480	    19.75748091	     0.00046389	
     0.07000000	    -0.08270755	    -0.08399137	    23.05113105	    23.05039439	     0.00073666	
     0.08000000	    -0.08235812	    -0.08403121	    26.34440753	    26.34330788	     0.00109965	
     0.09000000	    -0.08196184	    -0.08407540	    29.63778712	    29.63622136	     0.00156576	
     0.10000000	    -0.08151845	    -0.08412357	    32.93128274	    32.92913485	     0.00214790	
     0.11000000	    -0.08102770	    -0.08417531	    36.22490729	    36.22204833	     0.00285897	
     0.12000000	    -0.08048931	    -0.08423018	    39.51867369	    39.51496181	     0.00371187	
     0.13000000	    -0.07990294	    -0.08428769	    42.81259483	    42.80787530	     0.00471953	
     0.14000000	    -0.07926826	    -0.08434730	    46.10668366	    46.10078878	     0.00589488	
     0.15000000	    -0.07858491	    -0.08440844	    49.40095310	    49.39370227	     0.00725083	
     0.16000000	    -0.07785249	    -0.08447049	    52.69541607	    52.68661575	     0.00880032	
     0.17000000	    -0.07707058	    -0.08453279	    55.99008554	    55.97952924	     0.01055630	
     0.18000000	    -0.07623876	    -0.08459464	    59.28497443	    59.27244272	     0.01253171	
     0.19000000	    -0.07535656	    -0.08465528	    62.58009572	    62.56535621	     0.01473952	
     0.20000000	    -0.07442350	    -0.08471394	    65.87546237	    65.85826969	     0.01719268	
     0.21000000	    -0.07343907	    -0.08476979	    69.17108735	    69.15118317	     0.01990417	
     0.22000000	    -0.07240274	    -0.08482194	    72.46698364	    72.44409666	     0.02288698	
     0.23000000	    -0.07131397	    -0.08486950	    75.76316425	    75.73701014	     0.02615411	
     0.24000000	    -0.07017220	    -0.08491149	    79.05964218	    79.02992363	     0.02971855	
     0.25000000	    -0.06897684	    -0.08494694	    82.35643044	    82.32283711	     0.03359333	
     0.26000000	    -0.06772730	    -0.08497478	    85.65354206	    85.61575060	     0.03779146	
     0.27000000	    -0.06642294	    -0.08499395	    88.95099008	    88.90866408	     0.04232600	
     0.28000000	    -0.06506314	    -0.08500333	    92.24878755	    92.20157757	     0.04720998	
     0.29000000	    -0.06364725	    -0.08500173	    95.54694753	    95.49449105	     0.05245648	
     0.30000000	    -0.06217461	    -0.08498797	    98.84548310	    98.78740454	     0.05807857	
     0.31000000	    -0.06064453	    -0.08496079	   102.14440736	   102.08031802	     0.06408934	
     0.32000000	    -0.05905634	    -0.08491890	   105.44373341	   105.37323150	     0.07050190	
     0.33000000	    -0.05740932	    -0.08486097	   108.74347436	   108.66614499	     0.07732937	
     0.34000000	    -0.05570279	    -0.08478563	   112.04364335	   111.95905847	     0.08458488	
     0.35000000	    -0.05393601	    -0.08469147	   115.34425354	   115.25197196	     0.09228158	
     0.36000000	    -0.05210826	    -0.08457703	   118.64531809	   118.54488544	     0.10043265	
     0.37000000	    -0.05021881	    -0.08444082	   121.94685018	   121.83779893	     0.10905125	
     0.38000000	    -0.04826694	    -0.08428130	   125.24886301	   125.13071241	     0.11815059	
     0.39000000	    -0.04625189	    -0.08409691	   128.55136979	   128.42362590	     0.12774390	
     0.40000000	    -0.04417293	    -0.08388601	   131.85438378	   131.71653938	     0.13784440	
     0.41000000	    -0.04202931	    -0.08364695	   135.15791821	   135.00945286	     0.14846534	
     0.42000000	    -0.03982031	    -0.08337804	   138.46198636	   138.30236635	     0.15962001	
     0.43000000	    -0.03754517	    -0.08307754	   141.76660152	   141.59527983	     0.17132169	
     0.44000000	    -0.03520317	    -0.08274367	   145.07177700	   144.88819332	     0.18358369	
     0.45000000	    -0.03279358	    -0.08237462	   148.37752614	   148.18110680	     0.19641934	
     0.46000000	    -0.03031567	    -0.08196852	   151.68386229	   151.47402029	     0.20984200	
     0.47000000	    -0.02776874	    -0.08152348	   154.99079881	   154.76693377	     0.22386504	
     0.48000000	    -0.02515208	    -0.08103756	   158.29834911	   158.05984726	     0.23850186	
     0.49000000	    -0.02246499	    -0.08050879	   161.60652661	   161.35276074	     0.25376587	
     0.50000000	    -0.01970681	    -0.07993515	   164.91534473	   164.64567423	     0.26967051	
     0.51000000	    -0.01687687	    -0.07931459	   168.22481695	   167.93858771	     0.28622924	
     0.52000000	    -0.01397453	    -0.07864501	   171.53495675	   171.23150119	     0.30345555	
     0.53000000	    -0.01099917	    -0.07792429	   174.84577763	   174.52441468	     0.32136295	
     0.54000000	    -0.00795018	    -0.07715025	   178.15729314	   177.81732816	     0.33996498	
     0.55000000	    -0.00482698	    -0.07632069	   181.46951683	   181.11024165	     0.35927519	
     0.56000000	    -0.00162903	    -0.07543335	   184.78246229	   184.40315513	     0.37930716	
     0.57000000	     0.00164421	    -0.07448595	   188.09614313	   187.69606862	     0.40007451	
     0.58000000	     0.00499323	    -0.07347618	   191.41057298	   190.98898210	     0.42159087	
     0.59000000	     0.00841851	    -0.07240166	   194.72576550	   194.28189559	     0.44386991	
     0.60000000	     0.01192045	    -0.07126001	   198.04173439	   197.57480907	     0.46692532	
     0.61000000	     0.01549947	    -0.07004878	   201.35849335	   200.86772256	     0.49077080	
     0.62000000	     0.01915592	    -0.06876551	   204.67605615	   204.16063604	     0.51542011	
